SA1_CODE21,Education level,Income level,Adaptive Capability Index
1155806,1159.0,1031.0,0.85409576
1155807,1162.0,1062.0,0.86736476
1155808,1090.0,1179.0,0.884973
1155809,1145.0,1138.0,0.89040405
1155810,1150.0,1161.0,0.90133
1155811,1149.0,1183.0,0.9095273
1155812,1121.0,1148.0,0.88495415
1155813,1139.0,1135.0,0.8868948
1155814,1176.0,1152.0,0.90794957
1155815,1139.0,1143.0,0.8900174
1155816,1118.0,1099.0,0.8646593
1155817,1175.0,1168.0,0.913805
1155818,1109.0,1105.0,0.86349386
1155819,1100.0,1039.0,0.8342253
1155820,1113.0,1088.0,0.8584173
1155821,1165.0,1195.0,0.9204465
1155822,1126.0,1153.0,0.88885427
1155823,1119.0,1147.0,0.8837844
1155824,1138.0,1111.0,0.8771374
1155825,1125.0,1158.0,0.8904162
1155826,1134.0,1152.0,0.89158165
1155827,1132.0,1130.0,0.88221526
1155828,1132.0,1178.0,0.90095055
1155829,1123.0,1232.0,0.91852045
1155830,1138.0,1156.0,0.89470184
1155831,1157.0,1178.0,0.91069335
1155832,1144.0,1133.0,0.8880627
1155833,1135.0,1119.0,0.8790908
1155834,1158.0,1158.0,0.9032767
1155835,1134.0,1172.0,0.8993881
1155836,1147.0,1150.0,0.8958673
1155837,1147.0,1123.0,0.88532865
1155838,1126.0,1179.0,0.8990026
1155839,1098.0,1148.0,0.87599075
1155840,1175.0,1107.0,0.88999546
1155841,1115.0,1133.0,0.8767611
1155842,1166.0,1134.0,0.89702666
1155843,1139.0,1104.0,0.8747949
1155844,1094.0,1099.0,0.85530627
1155845,1125.0,1083.0,0.86114216
1155846,1136.0,1167.0,0.8982159
1155847,1092.0,1112.0,0.859601
1155848,1127.0,1165.0,0.8939279
1155849,1137.0,1176.0,0.90211844
1155850,0.0,0.0,0.0
1155851,1140.0,1181.0,0.9052392
1155852,1137.0,1152.0,0.8927508
1155901,1100.0,1100.0,0.85803485
1155902,1120.0,1154.0,0.8869064
1155903,1087.0,1150.0,0.87248456
1155904,1104.0,1109.0,0.8631066
1155905,1090.0,1189.0,0.8888762
1155906,1048.0,1067.0,0.8248893
1155907,1098.0,1174.0,0.8861391
1155908,1084.0,1212.0,0.8955153
1155909,1108.0,1150.0,0.8806685
1155910,1093.0,1159.0,0.8783357
1155911,1123.0,1168.0,0.89354
1155912,1089.0,1158.0,0.8763866
1155913,1085.0,1202.0,0.89200187
1155914,1101.0,1195.0,0.89550495
1155915,1069.0,1167.0,0.87210524
1155916,1098.0,1130.0,0.868965
1155917,1075.0,1147.0,0.8666371
1155918,1083.0,1185.0,0.88458693
1155919,1107.0,1213.0,0.90486896
1155920,1083.0,1166.0,0.8771709
1155921,1057.0,1137.0,0.8557191
1155922,1095.0,1160.0,0.8795055
1155923,1056.0,1072.0,0.82995856
1155924,1084.0,1180.0,0.88302505
1155925,1092.0,1152.0,0.8752138
1155926,1121.0,1163.0,0.89080894
1155927,1086.0,1166.0,0.87834
1155928,1138.0,1182.0,0.9048501
1155929,1053.0,1135.0,0.8533796
1155930,1110.0,1138.0,0.8767642
1155931,1093.0,1169.0,0.882239
1155932,1108.0,1202.0,0.9009652
1155933,1110.0,1206.0,0.9033059
1155934,1069.0,1168.0,0.87249553
1155935,1089.0,1143.0,0.8705318
1155936,1104.0,1222.0,0.90721273
1155937,1093.0,1184.0,0.8880937
1155938,1077.0,1190.0,0.8842003
1155939,1127.0,1143.0,0.8853408
1156001,1000.0,1002.0,0.7808123
1156002,954.0,1014.0,0.7675694
1156003,963.0,1008.0,0.76873493
1156004,935.0,966.0,0.74142957
1156005,936.0,977.0,0.7461128
1156006,917.0,1037.0,0.76212746
1156007,967.0,968.0,0.754681
1156008,915.0,1014.0,0.7523707
1156009,904.0,978.0,0.73403233
1156010,791.0,762.0,0.6056858
1156011,990.0,987.0,0.77106035
1156012,978.0,999.0,0.77106774
1156013,944.0,1002.0,0.7589885
1156014,956.0,967.0,0.7500038
1156015,921.0,966.0,0.7359736
1156016,961.0,1005.0,0.76678455
1156017,1025.0,1152.0,0.8491031
1156018,966.0,1026.0,0.7769298
1156019,996.0,1018.0,0.7854986
1156020,912.0,993.0,0.7430048
1156021,972.0,963.0,0.7546779
1156022,931.0,999.0,0.75275123
1156023,1014.0,962.0,0.7706555
1156024,958.0,910.0,0.728535
1156025,1007.0,966.0,0.7694888
1156026,993.0,937.0,0.75271356
1156027,741.0,694.0,0.5596584
1156028,1017.0,1050.0,0.8061727
1156101,903.0,952.0,0.7234943
1156102,945.0,987.0,0.75352335
1156103,996.0,980.0,0.7706665
1156104,1007.0,941.0,0.7597308
1156105,941.0,927.0,0.7285453
1156106,978.0,1015.0,0.7773129
1156107,941.0,984.0,0.7507936
1156108,999.0,1048.0,0.7983773
1156109,945.0,995.0,0.7566459
1156110,957.0,936.0,0.7382936
1156111,1024.0,886.0,0.7448883
1156112,978.0,1091.0,0.80697715
1156113,969.0,992.0,0.7648281
1156114,925.0,933.0,0.7246518
1156115,914.0,982.0,0.73949075
1156116,917.0,1004.0,0.7492469
1156117,889.0,952.0,0.7180383
1156118,940.0,978.0,0.74806195
1156119,919.0,1029.0,0.75978434
1156120,929.0,1000.0,0.75236213
1156121,923.0,972.0,0.7390949
1156122,937.0,986.0,0.7500154
1156123,902.0,1001.0,0.7422303
