SA1_7DIG16,mean
1108128,962
1108129,968
1108130,986
1108131,909
1108132,963
1108133,871
1108134,917
1108135,821
1108136,902
1108137,850
1108138,943
1108139,953
1108140,896
1108141,993
1108143,889
1108144,902
1108145,889
1108146,918
1108147,933
1108148,1008
1108149,948
1108150,975
1108151,1019
1108152,994
1108201,0
1108202,887
1108203,901
1108204,959
1108205,929
1108206,1106
1108207,958
1108208,1099
1108209,911
1108210,0
1108211,918
1108212,864
1108213,909
1108214,916
1108215,881
1108216,915
1108217,951
1108218,995
1108219,941
1108220,886
1108221,871
1108222,910
1108223,1016
1108224,926
1108225,978
1108226,909
1108227,1071
1108228,1068
1108229,1005
1108230,897
1108231,866
1108232,1010
1108233,902
1108234,876
1108235,920
1108236,0
1108237,900
1108238,990
1108239,948
1108240,943
1108241,889
1108242,839
1108243,1026
1108244,978
1108245,1039
1108301,1023
1108302,1087
1108303,1015
1108304,996
1108305,1058
1108306,952
1108307,1009
1108308,1062
1108309,1001
1108310,1031
1108311,1044
1108312,994
1108313,1044
1108314,1060
1108315,1025
1108316,1079
1108317,1056
1108401,968
1108402,0
1108403,852
1108404,918
1108405,877
1108406,1022
1108407,920
1108408,945
1108409,979
1108410,960
1108411,873
1108412,891
1108413,912
1108414,993
1108415,1096
1108416,947
1108417,996
1108418,941
1108419,928
1108420,961
1108421,945
1108422,861
1108423,993
1108424,923
1108425,1044
1108426,1066
1108427,959
1108428,896
1108429,748
1108430,1027
1108431,878
1108432,900
1108433,945
1108434,1041
1108435,833
1108436,844
1108438,954
1108439,1004
1108440,907
1108441,1015
1108442,958
1108443,945
1108444,961
1108445,963
1108446,914
1108501,0
1108502,1062
1108503,0
1108504,919
1108505,941
1108506,970
1108507,922
1108508,875
1108509,972
1108510,1012
1108511,937
1108512,898
1108513,964
1108514,907
1108515,984
1108516,934
1108517,1005
1108518,914
1108519,1012
1108520,973
1108521,0
1108522,0
1108523,952
1108524,907
1108525,1091
1108526,1039
1108527,1081
1108528,818
1108529,919
1108530,902
1108531,925
1108601,942
1108602,985
1108603,926
1108604,896
1108605,1000
1108606,1032
1108607,931
1108608,991
1108609,971
1108610,984
1108611,1013
1108612,1004
1108613,1022
1108701,973
1108702,863
1108703,820
1108704,880
1108705,880
1108706,916
1108707,921
1108708,907
1108709,1039
1108710,1034
1108711,1019
1108712,931
1108713,935
1108801,0
1108802,1092
1108803,1022
1108804,1095
1108805,1077
1108806,1082
1108807,0
1108808,999
1108809,1072
1108810,1030
1108811,1025
1108812,1083
1108813,981
1108814,992
1108815,969
1108816,1009
1108817,944
1108818,1016
1108819,1054
1108820,1046
1108901,935
1108902,934
1108903,917
1108904,828
1108905,1084
1108906,980
1108907,1103
1108908,927
1108909,920
1108910,914
1108911,898
1108912,919
1108913,0
1108914,892
1108915,938
1108916,948
1108917,942
1108918,917
1108919,856
1108920,914
1108921,964
1108922,996
1108923,738
1108924,890
1108925,871
1108926,883
1108927,0
1108928,851
1108929,1000
1108930,1036
1108931,989
1108932,1036
1108933,982
1108934,1064
1108935,926
1108936,781
1108937,822
1108938,0
1108939,1083
1108940,1006
1108941,1022
1108942,0
1108943,948
1108944,897
1108945,908
1108946,969
1108947,1053
1108948,964
1108949,1044
1108950,967
1108951,992
1108952,1039
1108953,0
1108954,1030
1108955,966
1108956,927
1109001,909
1109002,0
1109003,1046
1109004,1077
1109005,1049
1109006,878
1109007,908
1109008,933
1109009,1009
1109010,905
1109011,976
1109012,935
1109013,933
1109014,956
1109015,965
1109101,882
1109102,896
1109103,982
1109105,963
1109106,986
1109107,1020
1109108,960
1109109,879
1109110,865
1109111,945
1109113,1002
1109115,924
1109116,957
1109117,0
1109118,977
1109121,972
1109122,898
1109123,991
1109124,989
1109125,1026
