SA1_CODE21,mean
1104320,0.288990826
1104321,0.37704918
1104322,0.34751773
1104323,0.380733945
1104324,0.291187739
1104325,0.563573883
1104326,0.215277778
1104327,0.287179487
1104328,0.31884058
1104329,0.308823529
1104330,0.388235294
1104401,0.510067114
1104402,0.416184971
1104403,0.79
1104404,0.416356877
1104405,0.269503546
1104406,0.508928571
1104407,0.478494624
1104408,0.514492754
1104409,0.413043478
1104410,1.913461538
1104411,1.609022556
1104412,0.371352785
1104413,0
1104414,0.427884615
1104415,0.29281768
1104416,0.337579618
1104417,0.355648536
1104418,0
1104419,0.297560976
1104420,0.757894737
1104421,0.912280702
1104422,0.358851675
1104423,0.358778626
1104424,0.383928571
1104425,0.401639344
1104426,0.281407035
1104427,0.333333333
1104428,0.486486486
1104429,0.448
1104430,0.532051282
1104431,0.436619718
1104432,0.296551724
1104433,0.35
1104434,0.387218045
1104435,0.376
1104436,0.296089385
1104437,0.528985507
1104438,0.27756654
1104439,0.504807692
1104440,1.390946502
1104441,0.557971014
1104442,0.24137931
1104443,0.308510638
1104444,0.477419355
1104445,0.456521739
1104446,0.453703704
1104447,0.36492891
1104448,0.258823529
1104449,0.540372671
1104450,0.338541667
1104451,0.28042328
1104452,0.340425532
1104453,0.290322581
1104454,0.363636364
1104455,0.45021645
1104456,0.3
1104457,0.256830601
1104458,0.301282051
1104459,0.432160804
1104501,0.535714286
1104502,0.386363636
1104503,0.443298969
1104504,0.328947368
1104505,0.398340249
1104506,0.359813084
1104507,0.289855072
1104508,0.322147651
1104509,0.459119497
1104510,0.289361702
1104511,0.388888889
1104512,0.372413793
1104513,0.399209486
1104514,0.216374269
1104515,0.231884058
1104516,0.287735849
1104517,0.371212121
1104518,0.297385621
1104519,0.386363636
1104520,0
1104521,0.297560976
1104522,0.301282051
1104523,0.38
1104524,0.371900826
1104601,0.423913043
1104602,0.386363636
1104603,0.4
1104604,0.505102041
1104605,0.628571429
1104606,0.317307692
1104607,0.413333333
1104608,0.473933649
1104609,0.470930233
1104610,0.438596491
1104611,1.46875
1104612,0.503649635
1104613,0
1104614,0.45045045
1104615,0.401574803
1104616,0.49009901
1104617,0.696682464
1104618,0.425287356
1104619,0.502439024
1104620,0.483516484
1104621,0.337423313
1104622,0.454545455
1104623,1
1104624,0.443223443
1104625,1.141868512
1104701,0.25
1104702,0.203252033
1104703,0.277310924
1104704,0.2375
1104705,0.1875
1104706,0.234449761
1104707,0.329113924
1104708,0.281746032
1104709,0.212851406
1104710,1.369369369
1104711,1.220264317
1104712,0.284046693
1104713,1.083989501
1104714,0.229166667
1104715,0.348837209
1104716,0.325443787
1104717,0.235576923
1104718,0.310734463
1104719,0.260714286
1104720,0.28030303
1104721,0.233944954
1104722,0.25
1104723,0.30075188
1104724,0.320987654
1104725,0.241935484
1104726,0.238410596
1104727,0.351351351
1104728,0.333333333
1104729,0.225108225
1104730,0.303448276
1104731,0.303643725
1104732,0.346938776
1104733,0.236111111
1104734,0.330769231
1104735,0.327935223
1104736,0.358870968
1104737,0
1104801,0.302521008
1104802,0.278688525
1104803,0.270491803
1104804,0.305970149
1104805,0.348571429
1104806,0.396551724
1104807,0.413043478
1104808,0.337349398
1104809,0.451612903
1104810,0.585551331
